Date,Open,High,Low,Close,Adj Close,Volume
2019-08-08,153.07000732421875,154.6999969482422,152.7899932861328,154.6199951171875,147.40298461914062,674800
2019-08-09,154.2100067138672,154.89999389648438,152.5,153.94000244140625,146.75477600097656,262800
2019-08-12,153.3300018310547,155.5,152.94000244140625,154.22000122070312,147.02169799804688,191400
2019-08-13,153.72000122070312,156.1199951171875,153.72000122070312,155.39999389648438,148.14657592773438,334700
2019-08-14,153.27999877929688,154.17999267578125,151.50999450683594,151.69000244140625,144.6097869873047,239100
2019-08-15,151.86000061035156,153.2899932861328,151.2100067138672,151.97000122070312,144.87672424316406,372200
2019-08-16,152.94000244140625,154.32000732421875,151.2100067138672,152.74000549316406,145.61073303222656,344700
2019-08-19,154.3699951171875,154.8699951171875,153.00999450683594,153.2100067138672,146.05886840820312,337700
2019-08-20,153.4499969482422,153.7899932861328,150.97000122070312,151.08999633789062,144.03778076171875,548600
2019-08-21,151.6699981689453,152.13999938964844,150.8300018310547,151.16000366210938,144.10450744628906,782400
2019-08-22,151.66000366210938,151.74000549316406,150.0,151.19000244140625,144.1331024169922,450200
2019-08-23,150.8000030517578,151.9199981689453,148.02999877929688,148.4600067138672,141.530517578125,365900
2019-08-26,149.32000732421875,150.39999389648438,149.02000427246094,149.6199951171875,142.63636779785156,411900
2019-08-27,150.8699951171875,153.0800018310547,150.0399932861328,153.02000427246094,145.87770080566406,726000
2019-08-28,152.50999450683594,153.8300018310547,151.6999969482422,152.9600067138672,145.82049560546875,466400
2019-08-29,154.22000122070312,155.72000122070312,153.50999450683594,155.13999938964844,147.89878845214844,305700
2019-08-30,156.08999633789062,156.66000366210938,152.8800048828125,154.39999389648438,147.19326782226562,332600
2019-09-03,153.7100067138672,154.3300018310547,150.74000549316406,152.2100067138672,145.10549926757812,342500
2019-09-04,153.5500030517578,153.86000061035156,151.6300048828125,152.3699951171875,145.25802612304688,317200
2019-09-05,153.88999938964844,154.4499969482422,151.92999267578125,153.5,146.3352813720703,489400
2019-09-06,153.8800048828125,155.85000610351562,153.7899932861328,154.49000549316406,147.27903747558594,494700
2019-09-09,154.36000061035156,154.44000244140625,144.8699951171875,145.27999877929688,138.83148193359375,677700
2019-09-10,144.05999755859375,144.05999755859375,140.75999450683594,141.6199951171875,135.3339080810547,1094200
2019-09-11,141.6199951171875,144.52000427246094,140.1300048828125,144.50999450683594,138.09564208984375,867500
2019-09-12,145.88999938964844,148.17999267578125,145.85000610351562,147.94000244140625,141.3734130859375,488400
2019-09-13,147.94000244140625,148.22000122070312,143.6699981689453,144.1199951171875,137.72293090820312,636200
2019-09-16,143.2100067138672,144.91000366210938,142.2100067138672,144.3300018310547,137.92359924316406,501100
2019-09-17,144.1300048828125,146.7899932861328,144.1300048828125,145.5,139.04168701171875,564900
2019-09-18,146.24000549316406,147.7899932861328,143.36000061035156,144.44000244140625,138.02874755859375,983600
2019-09-19,144.49000549316406,147.10000610351562,144.49000549316406,145.7899932861328,139.31878662109375,428300
2019-09-20,146.25999450683594,148.0500030517578,146.25999450683594,146.66000366210938,140.15017700195312,1435800
2019-09-23,146.0500030517578,147.74000549316406,146.0500030517578,146.3699951171875,139.87306213378906,827100
2019-09-24,147.35000610351562,148.97999572753906,146.11000061035156,146.80999755859375,140.2935333251953,417100
2019-09-25,146.47999572753906,147.63999938964844,144.6300048828125,146.7100067138672,140.19798278808594,356900
2019-09-26,146.55999755859375,147.41000366210938,144.0399932861328,145.0800018310547,138.64035034179688,445700
2019-09-27,146.22000122070312,146.22000122070312,141.27999877929688,141.77999877929688,135.48680114746094,327100
2019-09-30,141.9600067138672,144.97999572753906,141.61000061035156,144.49000549316406,138.0765380859375,385400
2019-10-01,144.77000427246094,144.97000122070312,140.16000366210938,140.6199951171875,134.37831115722656,360000
2019-10-02,139.66000366210938,139.97999572753906,137.5399932861328,139.00999450683594,132.83975219726562,452700
2019-10-03,138.61000061035156,141.4600067138672,137.9499969482422,141.2100067138672,134.94215393066406,446000
2019-10-04,142.14999389648438,143.83999633789062,141.35000610351562,142.66000366210938,136.3277587890625,347100
2019-10-07,141.72000122070312,142.44000244140625,141.22000122070312,141.91000366210938,135.6110382080078,256000
2019-10-08,140.85000610351562,140.85000610351562,137.9199981689453,138.0399932861328,131.9127960205078,253700
2019-10-09,139.17999267578125,140.6199951171875,138.97000122070312,139.44000244140625,133.25070190429688,305500
2019-10-10,138.8300018310547,140.24000549316406,138.7899932861328,139.6999969482422,133.49913024902344,422200
2019-10-11,141.1199951171875,141.86000061035156,140.5,140.67999267578125,134.4356689453125,331600
2019-10-14,141.17999267578125,141.9499969482422,139.57000732421875,140.0800018310547,133.86228942871094,171500
2019-10-15,141.49000549316406,143.19000244140625,140.85000610351562,143.10000610351562,136.74822998046875,448300
2019-10-16,142.75,143.30999755859375,141.61000061035156,142.39999389648438,136.0792694091797,483300
2019-10-17,143.07000732421875,143.97000122070312,142.25999450683594,143.14999389648438,136.7959747314453,532100
2019-10-18,142.7100067138672,143.9600067138672,142.61000061035156,143.3699951171875,137.0062255859375,901200
2019-10-21,144.0,144.0,140.3699951171875,140.5500030517578,134.3114013671875,486500
2019-10-22,141.0500030517578,141.7100067138672,136.3699951171875,136.9199981689453,130.842529296875,739200
2019-10-23,137.61000061035156,138.25,136.9600067138672,137.85000610351562,131.7312469482422,468600
2019-10-24,138.4199981689453,139.27000427246094,136.92999267578125,137.38999938964844,131.29164123535156,356500
2019-10-25,137.5500030517578,139.38999938964844,137.02000427246094,138.00999450683594,131.88417053222656,332700
2019-10-28,138.41000366210938,140.1999969482422,138.41000366210938,139.4600067138672,133.26979064941406,304100
2019-10-29,139.10000610351562,142.14999389648438,139.0500030517578,141.4499969482422,135.17144775390625,247400
2019-10-30,141.77999877929688,143.00999450683594,140.07000732421875,142.67999267578125,136.34681701660156,359500
2019-10-31,142.1300048828125,143.42999267578125,140.77000427246094,141.57000732421875,135.28616333007812,367400
2019-11-01,142.61000061035156,143.8699951171875,141.5500030517578,142.13999938964844,135.83084106445312,312600
2019-11-04,143.02999877929688,143.47000122070312,139.42999267578125,140.52999877929688,134.29226684570312,416000
2019-11-05,146.0,148.11000061035156,143.0800018310547,145.47999572753906,139.02255249023438,878500
2019-11-06,145.5,146.5500030517578,144.17999267578125,145.49000549316406,139.0321502685547,490100
2019-11-07,146.5,147.49000549316406,144.47000122070312,145.19000244140625,138.74546813964844,481600
2019-11-08,145.13999938964844,146.7899932861328,144.74000549316406,145.83999633789062,139.36659240722656,282700
2019-11-11,145.0800018310547,146.80999755859375,144.11000061035156,144.69000244140625,138.2676544189453,373400
2019-11-12,145.17999267578125,146.39999389648438,144.75999450683594,145.60000610351562,139.13726806640625,275400
2019-11-13,145.3000030517578,146.75999450683594,144.99000549316406,145.61000061035156,139.14678955078125,265000
2019-11-14,145.72999572753906,146.82000732421875,145.13999938964844,146.74000549316406,140.22665405273438,296100
2019-11-15,147.42999267578125,148.8300018310547,146.77999877929688,148.75,142.1474609375,319200
2019-11-18,148.86000061035156,149.80999755859375,148.47000122070312,149.3800048828125,142.74949645996094,398000
2019-11-19,150.2100067138672,152.16000366210938,149.66000366210938,151.88999938964844,145.14804077148438,385700
2019-11-20,151.9499969482422,153.50999450683594,151.30999755859375,151.8699951171875,145.12893676757812,635400
2019-11-21,152.36000061035156,152.55999755859375,150.14999389648438,150.8300018310547,144.13510131835938,329000
2019-11-22,151.8000030517578,152.05999755859375,150.2899932861328,151.88999938964844,145.14804077148438,494000
2019-11-25,151.89999389648438,152.4600067138672,151.13999938964844,151.5,145.12889099121094,285600
2019-11-26,151.33999633789062,153.3000030517578,150.94000244140625,151.74000549316406,145.35879516601562,445100
2019-11-27,152.24000549316406,153.13999938964844,151.47000122070312,152.67999267578125,146.2592315673828,260200
2019-11-29,152.4499969482422,153.05999755859375,151.13999938964844,151.13999938964844,144.7840576171875,237200
2019-12-02,151.99000549316406,151.99000549316406,149.33999633789062,150.24000549316406,143.92190551757812,308100
2019-12-03,149.74000549316406,152.39999389648438,149.4499969482422,152.0800018310547,145.68453979492188,406900
2019-12-04,152.50999450683594,154.3000030517578,152.50999450683594,154.07000732421875,147.59083557128906,473400
2019-12-05,153.6199951171875,153.92999267578125,152.58999633789062,152.9499969482422,146.51791381835938,338700
2019-12-06,154.0,155.07000732421875,153.6699981689453,154.3000030517578,147.8111572265625,340800
2019-12-09,153.6699981689453,154.1300048828125,152.35000610351562,152.5399932861328,146.12513732910156,279300
2019-12-10,152.94000244140625,154.02000427246094,151.77999877929688,153.94000244140625,147.46629333496094,304100
2019-12-11,154.32000732421875,155.0,153.1999969482422,153.67999267578125,147.21726989746094,440000
2019-12-12,154.17999267578125,154.39999389648438,152.3000030517578,153.66000366210938,147.1980743408203,410400
2019-12-13,153.1199951171875,153.97999572753906,151.52999877929688,151.92999267578125,145.54080200195312,503200
2019-12-16,152.2899932861328,152.85000610351562,149.5800018310547,150.75,144.4104461669922,1253500
2019-12-17,150.61000061035156,151.89999389648438,149.3800048828125,151.52000427246094,145.1480712890625,758900
2019-12-18,152.0800018310547,152.39999389648438,148.38999938964844,149.25999450683594,142.98312377929688,753900
2019-12-19,149.30999755859375,149.7100067138672,147.24000549316406,148.38999938964844,142.14967346191406,1200200
2019-12-20,149.4499969482422,151.9199981689453,148.52000427246094,149.83999633789062,143.5386962890625,14904400
2019-12-23,150.10000610351562,152.86000061035156,149.60000610351562,151.47999572753906,145.10972595214844,786300
2019-12-24,151.61000061035156,152.0800018310547,150.9199981689453,152.02999877929688,145.63661193847656,137700
2019-12-26,152.17999267578125,152.83999633789062,150.60000610351562,151.35000610351562,144.98521423339844,649300
2019-12-27,151.9600067138672,152.3800048828125,150.49000549316406,151.80999755859375,145.42584228515625,433400
2019-12-30,152.1199951171875,152.94000244140625,151.4199981689453,151.94000244140625,145.5504150390625,600500
2019-12-31,151.91000366210938,152.55999755859375,151.25999450683594,152.4199981689453,146.01023864746094,330200
2020-01-02,152.5800018310547,153.2100067138672,150.52999877929688,151.6999969482422,145.3205108642578,641200
2020-01-03,149.42999267578125,151.5,149.1999969482422,150.6300048828125,144.29547119140625,638000
2020-01-06,150.5,152.1300048828125,150.22999572753906,151.6199951171875,145.2438507080078,581900
2020-01-07,150.7100067138672,151.7100067138672,150.61000061035156,151.0399932861328,144.688232421875,429900
2020-01-08,151.60000610351562,152.00999450683594,150.4199981689453,150.9499969482422,144.60203552246094,839000
2020-01-09,151.5500030517578,153.16000366210938,151.3000030517578,151.77999877929688,145.39712524414062,644100
2020-01-10,152.38999938964844,152.52999877929688,150.50999450683594,151.00999450683594,144.6595001220703,432000
2020-01-13,150.8800048828125,151.82000732421875,150.3300018310547,151.5399932861328,145.1671905517578,522700
2020-01-14,151.0500030517578,152.5,150.2899932861328,152.41000366210938,146.0006561279297,519500
2020-01-15,152.33999633789062,153.77000427246094,152.14999389648438,152.57000732421875,146.15386962890625,550300
2020-01-16,153.0500030517578,154.1699981689453,152.67999267578125,154.1300048828125,147.64828491210938,399300
2020-01-17,154.22999572753906,154.39999389648438,153.00999450683594,154.1300048828125,147.64828491210938,628100
2020-01-21,153.9600067138672,154.75,152.88999938964844,153.80999755859375,147.3417510986328,521200
2020-01-22,154.4499969482422,155.0,152.77000427246094,152.7899932861328,146.3646240234375,369800
2020-01-23,152.42999267578125,152.42999267578125,151.32000732421875,151.80999755859375,145.42584228515625,399100
2020-01-24,151.92999267578125,151.92999267578125,150.08999633789062,151.2899932861328,144.92776489257812,486500
2020-01-27,149.50999450683594,151.3800048828125,148.9199981689453,150.11000061035156,143.79733276367188,831200
2020-01-28,150.11000061035156,151.7899932861328,150.11000061035156,151.0500030517578,144.6978302001953,452800
2020-01-29,151.3000030517578,152.72999572753906,150.4499969482422,151.52000427246094,145.1480712890625,514200
2020-01-30,150.5,153.38999938964844,150.11000061035156,153.30999755859375,146.86277770996094,568400
2020-01-31,152.80999755859375,153.50999450683594,150.44000244140625,150.69000244140625,144.35301208496094,659300
2020-02-03,151.50999450683594,152.10000610351562,150.5800018310547,151.0,144.6499481201172,398800
2020-02-04,152.67999267578125,153.3800048828125,151.55999755859375,152.2100067138672,145.8090362548828,382400
2020-02-05,153.02000427246094,154.1999969482422,152.4600067138672,152.9199981689453,146.48919677734375,341500
2020-02-06,153.00999450683594,154.7899932861328,152.02999877929688,154.25,147.76324462890625,459500
2020-02-07,153.86000061035156,154.4600067138672,152.00999450683594,152.8699951171875,146.44126892089844,353500
2020-02-10,152.52999877929688,155.32000732421875,151.77000427246094,153.8800048828125,147.4088592529297,591400
2020-02-11,157.0,162.6300048828125,155.77000427246094,162.27000427246094,155.44598388671875,2184600
